"","olat","olng","lat10","lon10","neighborhood","mode","time_start","dis"
"1",47.62533,-122.3612,47.61282,-122.34112,"Lower Queen Anne",23,"5/19/2015 7:14:31.978 ",2051.71756648357
"2",47.62532,-122.36128,47.62142,-122.36481,"Lower Queen Anne",1,"5/19/2015 19:03:17.021 ",508.557178520151
"3",47.63342,-122.37923,47.62678,-122.37698,"Interbay",1,"5/19/2015 19:32:26.016 ",758.189425508396
"4",47.62531,-122.36118,47.61444,-122.34427,"Lower Queen Anne",23,"5/21/2015 7:16:45.984 ",1753.32283596561
"5",47.60908,-122.33871,47.62124,-122.35539,"Central Business District",23,"5/21/2015 16:34:31.037 ",1843.65873933923
"6",47.6254,-122.36113,47.62299,-122.35141,"Lower Queen Anne",1,"5/21/2015 19:06:02.995 ",777.055963635685
"7",47.60805,-122.34191,47.61227,-122.35047,"Pike-Market",1,"5/21/2015 19:44:17.002 ",795.850846433463
"8",47.62083,-122.31667,47.60582,-122.32924,"Broadway",6,"5/19/2015 9:54:45.965 ",1918.7869016378
"9",47.58119,-122.32871,47.61822,-122.32585,"Industrial District",6,"5/19/2015 10:42:27.014 ",4127.74724154679
"10",47.62079,-122.31695,47.61501,-122.31002,"Broadway",1,"5/19/2015 11:25:25.018 ",827.288814942176
"11",47.62085,-122.31643,47.60112,-122.31688,"Broadway",6,"5/19/2015 16:04:11.021 ",2196.59317473227
"12",47.55023,-122.31727,47.59942,-122.31721,"Mid-Beacon Hill",6,"5/19/2015 18:27:00.000 ",5475.80760605341
"13",47.62088,-122.31695,47.61032,-122.33186,"Broadway",22,"5/19/2015 21:43:39.994 ",1622.87322098343
"14",47.58759,-122.31622,47.60419,-122.32348,"North Beacon Hill",23,"5/20/2015 9:58:23.002 ",1926.59614440582
"15",47.62089,-122.31667,47.59592,-122.31535,"Broadway",6,"5/21/2015 11:30:12.038 ",2781.41251353628
"16",47.60778,-122.30989,47.62084,-122.31695,"Minor",6,"5/21/2015 13:06:27.014 ",1547.35804128258
"17",47.62084,-122.31695,47.58695,-122.31651,"Broadway",6,"5/21/2015 19:25:59.981 ",3772.7620907375
"18",47.58766,-122.31627,47.61864,-122.35041,"North Beacon Hill",22,"5/21/2015 19:55:15.024 ",4296.48298634503
"19",47.62344,-122.35676,47.58843,-122.31591,"Lower Queen Anne",22,"5/21/2015 23:47:29.962 ",4958.741391609
"33",47.60901,-122.33411,47.71961,-122.32408,"Central Business District",6,"5/21/2015 22:44:44.995 ",12334.8772662523
"63",47.61944,-122.3453,47.613,-122.34536,"South Lake Union",1,"5/19/2015 9:28:02.035 ",716.911658890973
"64",47.61195,-122.34343,47.6171,-122.34441,"Pike-Market",1,"5/19/2015 9:39:44.035 ",577.993005758852
"65",47.61939,-122.34522,47.61383,-122.33914,"South Lake Union",1,"5/19/2015 18:50:22.963 ",768.918362863546
"66",47.60912,-122.33323,47.61642,-122.34364,"Central Business District",1,"5/19/2015 20:42:08.986 ",1127.23919467312
"67",47.61938,-122.34536,47.61188,-122.34379,"South Lake Union",1,"5/20/2015 9:56:15.043 ",843.16765819463
"68",47.6114,-122.34388,47.61866,-122.34544,"Pike-Market",1,"5/20/2015 10:17:48.019 ",816.613885293141
"69",47.61947,-122.34522,47.64293,-122.31586,"South Lake Union",6,"5/21/2015 12:32:20.976 ",3416.34030499028
"70",47.66402,-122.29809,47.67583,-122.32212,"Ravenna",6,"5/21/2015 14:06:34.042 ",2230.08067679142
"71",47.61976,-122.34574,47.66097,-122.30083,"South Lake Union",6,"5/21/2015 20:04:29.021 ",5691.35980185823
"72",47.66398,-122.29871,47.67525,-122.33341,"Ravenna",6,"5/21/2015 20:28:47.021 ",2887.9549910731
"73",47.61918,-122.34514,47.61278,-122.34552,"South Lake Union",1,"5/19/2015 9:28:11.971 ",713.01516617565
"74",47.61172,-122.34398,47.61652,-122.34663,"Pike-Market",1,"5/19/2015 17:09:58.032 ",570.139406493684
"75",47.61944,-122.34517,47.62487,-122.34744,"South Lake Union",1,"5/19/2015 18:50:15.014 ",628.002328439902
"76",47.61848,-122.33665,47.6431,-122.31367,"Belltown",6,"5/21/2015 12:34:06.038 ",3237.7926650879
"77",47.66406,-122.29808,47.67556,-122.33201,"Ravenna",6,"5/21/2015 14:08:22.992 ",2847.48538513602
"105",47.66861,-122.3846,47.66216,-122.3492,"Adams",7,"5/19/2015 11:45:13.018 ",2749.3207147579
"106",47.67578,-122.31501,47.67845,-122.32708,"Roosevelt",7,"5/19/2015 12:12:20.016 ",952.248311412286
"107",47.67858,-122.32636,47.66898,-122.28493,"Green Lake",7,"5/19/2015 13:02:11.962 ",3284.20532588283
"108",47.65944,-122.27772,47.66274,-122.27999,"Laurelhurst",1,"5/19/2015 17:05:28.982 ",404.864392254659
"109",47.69009,-122.29032,47.66856,-122.27453,"Wedgwood",7,"5/20/2015 17:07:35.040 ",2672.9679984819
"110",47.67567,-122.31732,47.66215,-122.29517,"Roosevelt",7,"5/21/2015 11:35:29.990 ",2241.03822279696
"111",47.72061,-122.30069,47.6837,-122.26427,"Olympic Hills",7,"5/21/2015 17:32:40.992 ",4932.21116109288
"112",47.66416,-122.2805,47.66523,-122.32597,"Laurelhurst",7,"5/19/2015 9:21:04.982 ",3410.97210969609
"113",47.66836,-122.38485,47.6614,-122.34278,"Adams",7,"5/19/2015 11:46:43.997 ",3247.75201036006
"114",47.67585,-122.31468,47.67821,-122.3272,"Roosevelt",7,"5/19/2015 12:12:23.040 ",974.485042529798
"115",47.67821,-122.3272,47.66461,-122.28442,"Green Lake",7,"5/19/2015 13:03:01.037 ",3546.21725382639
"116",47.67602,-122.31918,47.67747,-122.32793,"Roosevelt",7,"5/19/2015 17:19:38.035 ",675.408516898038
"117",47.6766,-122.32739,47.66402,-122.28036,"Green Lake",7,"5/19/2015 20:21:47.030 ",3793.41895575609
"118",47.66385,-122.28023,47.66325,-122.2806,"Laurelhurst",1,"5/20/2015 9:22:40.022 ",72.3229801103294
"119",47.66416,-122.28034,47.70612,-122.29086,"Laurelhurst",7,"5/20/2015 15:41:50.957 ",4737.03068320566
"120",47.68999,-122.29031,47.67467,-122.26477,"Wedgwood",7,"5/20/2015 17:05:47.990 ",2563.62633380869
"121",47.6618,-122.27799,47.67609,-122.31761,"Laurelhurst",7,"5/21/2015 9:45:45.965 ",3369.25014308415
"122",47.67604,-122.31763,47.66205,-122.29485,"Roosevelt",7,"5/21/2015 11:36:11.981 ",2311.1751629785
"123",47.66404,-122.28041,47.70996,-122.2803,"Laurelhurst",7,"5/21/2015 16:12:05.011 ",5111.79766363745
"124",47.68136,-122.25539,47.68132,-122.25859,"Sand Point",1,"5/21/2015 18:35:02.976 ",239.869240593704
"125",47.66137,-122.30303,47.65786,-122.32273,"University District",6,"5/19/2015 7:54:59.990 ",1527.86234661146
"126",47.61164,-122.33511,47.62218,-122.32784,"Central Business District",6,"5/19/2015 16:13:16.982 ",1293.93007864438
"127",47.66983,-122.29178,47.65214,-122.30842,"Ravenna",2,"5/20/2015 7:51:51.984 ",2331.17953874093
"128",47.66838,-122.28397,47.66487,-122.34078,"Bryant",7,"5/20/2015 18:49:00.019 ",4276.78174695703
"129",47.63963,-122.35624,47.6648,-122.30966,"East Queen Anne",7,"5/20/2015 21:45:59.962 ",4477.87465253077
"130",47.66259,-122.27742,47.6632,-122.29766,"Laurelhurst",6,"5/21/2015 7:52:17.040 ",1518.96634584788
"131",47.61157,-122.33509,47.64232,-122.20161,"Central Business District",6,"5/21/2015 14:07:09.984 ",10583.1261635618
