"","neighborhood","dismean10","dis10sd","count","dis10max","dis10min"
"1","Adams",3653.39027275649,1769.17826196342,33,6408.40954128342,685.250067964557
"2","Alki",2900.5354987484,428.972004162171,7,3453.83503850145,2207.20437850985
"3","Atlantic",6290.93340190488,4416.96809705465,6,12113.9509749078,2351.15084698593
"4","Belltown",3640.01410626425,3786.73887447555,22,17462.8586002423,323.536114503871
"5","Bitter Lake",5003.51488580144,1409.9853870866,4,7077.54540312686,3943.40544123755
"6","Broadview",4610.19348671278,1894.84638223258,6,6767.17126431344,1287.19794263735
"7","Broadway",3360.06810828285,3091.52292962697,36,16341.5108377736,231.803295686139
"8","Bryant",3267.94476777803,1227.22369417281,8,5384.24776642387,1657.29363497943
"9","Cedar Park",6020.04333403529,NA,1,6020.04333403529,6020.04333403529
"10","Central Business District",4300.64354237401,3761.8093272305,24,13907.5126634524,245.05491079317
"11","Columbia City",2435.82902719351,1506.90120114974,8,5406.35274015899,818.523182711816
"12","Crown Hill",2778.4372459032,1167.92908858725,3,4121.77357514737,2003.59938675881
"13","Dunlap",6482.80230087404,1281.58566780931,7,8402.45870687253,4438.28827675042
"14","East Queen Anne",3404.64406178541,2084.86409121173,11,6612.72971260762,830.471799421356
"15","Eastlake",2397.86690603031,1014.53981745646,4,3905.59418072715,1749.35432453985
"16","Fairmount Park",3410.38193816653,1429.88304474345,6,5011.62204713418,1169.16518950428
"17","Fauntleroy",4505.57713926757,1682.1359484915,21,6482.84675026598,578.588460395012
"18","First Hill",4241.03292696613,4399.09972836182,15,13185.3577184536,190.445817891845
"19","Fremont",3126.20569710603,2235.66400070252,15,9694.50919736527,403.267826557103
"20","Gatewood",4251.43054309719,2509.16551221364,4,7804.53927572577,2476.01700918347
"21","Genesee",3174.29330985283,1888.86270923708,10,6276.54705582112,713.161927801604
"22","Georgetown",4762.40841787352,2576.67401548461,16,10171.3268517267,470.670721247207
"23","Green Lake",2715.73637151304,1162.58060137002,11,3817.5354339826,88.1533148582824
"24","Greenwood",4272.78081100515,2388.13529994655,28,9166.25379895527,496.778656791582
"25","Haller Lake",3747.31289577837,2575.5546100967,22,11105.6637928674,366.979308639756
"26","Harrison/Denny-Blaine",4059.89828444037,NA,1,4059.89828444037,4059.89828444037
"27","High Point",4901.67042312282,1928.42816120898,2,6265.27505294479,3538.06579330084
