"","neighborhood","dis5mean","dis5sd","count.x","dis5max","dis5min","dismean10","dis10sd","count.y","dis10max","dis10min"
"1","Adams",1861.7383091619,980.032173698708,38,4647.62717208797,644.703596591944,3653.39027275649,1769.17826196342,33,6408.40954128342,685.250067964557
"2","Alki",1889.26010187646,742.044994006714,8,2574.3172987373,336.247048628622,2900.5354987484,428.972004162171,7,3453.83503850145,2207.20437850985
"3","Atlantic",3154.33762529669,1513.6292627945,6,5534.40446643171,1384.87974108581,6290.93340190488,4416.96809705465,6,12113.9509749078,2351.15084698593
"4","Belltown",2198.58498057966,3386.41017459072,28,17418.3639765391,49.072467007402,3640.01410626425,3786.73887447555,22,17462.8586002423,323.536114503871
"5","Bitter Lake",2285.49140585645,955.290268515793,5,3256.04519853513,713.990797919661,5003.51488580144,1409.9853870866,4,7077.54540312686,3943.40544123755
"6","Broadview",2819.47149082308,1073.99669025019,6,4298.32007265336,1264.35714558285,4610.19348671278,1894.84638223258,6,6767.17126431344,1287.19794263735
"7","Broadway",1578.70253950213,1763.33120272379,34,10274.3872791004,57.3635721435973,3360.06810828285,3091.52292962697,36,16341.5108377736,231.803295686139
"8","Bryant",1655.19525012681,512.811949085506,16,2387.69315122142,406.714176389241,3267.94476777803,1227.22369417281,8,5384.24776642387,1657.29363497943
"9","Cedar Park",3383.32948944039,NA,1,3383.32948944039,3383.32948944039,6020.04333403529,NA,1,6020.04333403529,6020.04333403529
"10","Central Business District",2303.44386350775,2196.57386988312,26,9115.49725999859,270.738305826134,4300.64354237401,3761.8093272305,24,13907.5126634524,245.05491079317
"11","Columbia City",1368.55140985627,599.100065168679,13,2480.26027810714,714.059274629141,2435.82902719351,1506.90120114974,8,5406.35274015899,818.523182711816
"12","Crown Hill",1553.11443357064,1045.92342628948,3,2615.97812630483,524.99718208105,2778.4372459032,1167.92908858725,3,4121.77357514737,2003.59938675881
"13","Dunlap",3953.69714284728,1368.62699836449,7,5785.72161176155,2133.39561510261,6482.80230087404,1281.58566780931,7,8402.45870687253,4438.28827675042
"14","East Queen Anne",1511.03498563383,1107.75255806198,28,5130.08625585584,210.486354428753,3404.64406178541,2084.86409121173,11,6612.72971260762,830.471799421356
"15","Eastlake",2476.93430872218,1495.65652920274,6,4085.97354371285,136.997323762665,2397.86690603031,1014.53981745646,4,3905.59418072715,1749.35432453985
"16","Fairmount Park",2752.57865517705,1407.4570523588,4,3845.10221571976,757.986159220239,3410.38193816653,1429.88304474345,6,5011.62204713418,1169.16518950428
"17","Fauntleroy",2650.12512969408,1614.97526573052,23,8075.41272662961,267.582308968308,4505.57713926757,1682.1359484915,21,6482.84675026598,578.588460395012
"18","First Hill",1464.00187947888,1533.60324921414,19,5454.47083826383,155.075456226024,4241.03292696613,4399.09972836182,15,13185.3577184536,190.445817891845
"19","Fremont",1539.23939085353,1086.64540392922,22,4568.64850367686,32.6319418699509,3126.20569710603,2235.66400070252,15,9694.50919736527,403.267826557103
"20","Gatewood",2567.80336619204,1164.20111434357,6,4515.61450024732,859.719079701172,4251.43054309719,2509.16551221364,4,7804.53927572577,2476.01700918347
"21","Genesee",1656.05328271843,1107.7616368262,14,3890.40626165846,333.314316571859,3174.29330985283,1888.86270923708,10,6276.54705582112,713.161927801604
"22","Georgetown",2873.89326929443,2053.52808685134,19,5987.67252901459,59.5541758916415,4762.40841787352,2576.67401548461,16,10171.3268517267,470.670721247207
"23","Green Lake",1799.38622943434,625.717853331239,15,3203.03157524448,680.814917269264,2715.73637151304,1162.58060137002,11,3817.5354339826,88.1533148582824
"24","Greenwood",1585.54333488163,961.387721533044,43,3711.49059799258,230.918282186637,4272.78081100515,2388.13529994655,28,9166.25379895527,496.778656791582
"25","Haller Lake",1967.92730933562,985.923252077368,25,3684.47337861341,98.8209468679304,3747.31289577837,2575.5546100967,22,11105.6637928674,366.979308639756
"26","Harrison/Denny-Blaine",2002.71055933789,429.384543453929,2,2306.33128175086,1699.08983692493,4059.89828444037,NA,1,4059.89828444037,4059.89828444037
"27","High Point",2631.06055390366,897.419100448434,3,3646.62707207974,1944.86897881141,4901.67042312282,1928.42816120898,2,6265.27505294479,3538.06579330084
"28","Holly Park",1679.06059390565,626.971813160604,12,2802.22973276553,854.090632228134,4538.16426518688,1780.757190868,7,7372.20932350415,2611.44278672583
"29","Industrial District",2250.57014634156,1863.82033481208,39,8417.90936053455,43.0446203018563,4549.9404613163,3678.18763011622,37,11943.0066529447,13.9872206358734
"30","Interbay",2397.89906896223,1607.33368441339,5,4370.47514260029,222.279695424917,3493.75297059183,1970.20625680771,5,6848.30898417827,1908.89271137215
"31","International District",923.448662375203,435.835995067588,8,1899.30783500557,480.650274231719,2471.82760659848,2096.17103013467,8,7430.34797372967,449.032894208379
"32","Laurelhurst",2394.41479182401,2172.75141890671,17,7833.2395273304,238.739933993073,2673.71799536724,1557.88557291447,13,5372.86586583872,824.982573212022
"33","Lawton Park",2614.56653121508,446.249543843269,7,3095.60938606446,1985.87921310229,3823.69816101769,1380.5927533947,7,5416.02875397546,2318.97993489774
"34","Leschi",2389.41577377442,NA,1,2389.41577377442,2389.41577377442,3035.53178546607,NA,1,3035.53178546607,3035.53178546607
"35","Lower Queen Anne",1713.18842432355,1185.32725426502,34,5153.41533966853,32.713050070071,3770.38714069335,2244.62703229959,33,8762.215237377,623.556583014817
"36","Loyal Heights",1822.98549595481,361.296269308246,3,2239.37250518223,1592.40029363763,4239.78001226552,1143.28070499412,4,5865.59719685378,3183.50396462974
"37","Madison Park",1638.14618266796,1983.75357778425,2,3040.87178972228,235.42057561364,1942.08839312157,2000.11871485363,2,3356.3858995727,527.790886670451
"38","Madrona",2346.18088763641,512.362262901397,2,2708.47571815807,1983.88605711474,4405.86837538764,1282.52519339855,2,5312.75063668234,3498.98611409294
"39","Mann",1535.72824804226,941.819411239353,8,3719.26030664811,881.896644118763,3068.11727004673,2001.72706930674,5,5935.48035042031,691.678822712203
"40","Maple Leaf",2582.84211938731,2085.13071751306,30,7879.3364681043,771.872132285687,4329.72012731812,3550.20038431775,26,14639.5309605661,663.438665168547
