"","olat","olng","lat5","lon5","neighborhood","mode","time_start","dis"
"1",47.62083,-122.31667,47.6185,-122.32875,"Broadway",6,"5/19/2015 9:54:45.965 ",942.800379669059
"2",47.56519,-122.33056,47.57994,-122.32896,"Industrial District",6,"5/19/2015 10:33:13.018 ",1646.35359067106
"3",47.58119,-122.32871,47.59722,-122.32002,"Industrial District",6,"5/19/2015 10:42:27.014 ",1899.98275788173
"4",47.62085,-122.31643,47.60619,-122.3168,"Broadway",6,"5/19/2015 16:04:11.021 ",1632.17992646033
"5",47.55023,-122.31727,47.58273,-122.32138,"Mid-Beacon Hill",6,"5/19/2015 18:27:00.000 ",3631.03020832372
"6",47.62089,-122.31667,47.60621,-122.3168,"Broadway",6,"5/21/2015 11:30:12.038 ",1634.19924424229
"7",47.60778,-122.30989,47.61556,-122.31687,"Minor",6,"5/21/2015 13:06:27.014 ",1012.15614665007
"8",47.62084,-122.31695,47.60804,-122.3168,"Broadway",6,"5/21/2015 19:25:59.981 ",1424.93394288332
"9",47.60901,-122.33411,47.64376,-122.32281,"Central Business District",6,"5/21/2015 22:44:44.995 ",3960.16252256591
"10",47.61947,-122.34522,47.62215,-122.33428,"South Lake Union",6,"5/21/2015 12:32:20.976 ",873.39554299732
"11",47.66402,-122.29809,47.6693,-122.30384,"Ravenna",6,"5/21/2015 14:06:34.042 ",728.892589618201
"12",47.61976,-122.34574,47.64233,-122.32034,"South Lake Union",6,"5/21/2015 20:04:29.021 ",3153.31101668339
"13",47.66398,-122.29871,47.67166,-122.31502,"Ravenna",6,"5/21/2015 20:28:47.021 ",1491.93883989615
"14",47.61848,-122.33665,47.6289,-122.32749,"Belltown",6,"5/21/2015 12:34:06.038 ",1348.26406635616
"15",47.66406,-122.29808,47.67116,-122.31304,"Ravenna",6,"5/21/2015 14:08:22.992 ",1372.01426630894
"16",47.66417,-122.28032,47.66861,-122.3846,"Laurelhurst",7,"5/19/2015 9:41:37.997 ",7833.2395273304
"17",47.66861,-122.3846,47.66858,-122.376,"Adams",7,"5/19/2015 11:45:13.018 ",644.703596591944
"18",47.66201,-122.34201,47.6784,-122.32702,"Wallingford",7,"5/19/2015 12:04:54.019 ",2142.79294851375
"19",47.67858,-122.32636,47.6757,-122.30753,"Green Lake",7,"5/19/2015 13:02:11.962 ",1447.30644787119
"20",47.66401,-122.28016,47.70548,-122.29181,"Laurelhurst",7,"5/20/2015 15:49:40.022 ",4698.2520085026
"21",47.70539,-122.29154,47.69024,-122.29019,"Meadowbrook",7,"5/20/2015 16:43:03.043 ",1689.5206075827
