"","neighborhood.x","count","dis5mean","dis5sd","dis5max","dis5min","dis10mean","dis10sd","dis10max","dis10min"
"1","Adams",41,1918.85928447215,970.235301503881,4647.62717208797,644.703596591944,4098.88323580866,1566.58545929458,6408.40954128342,771.566737434098
"2","Alki",8,1804.75584034599,768.927840287669,2574.3172987373,336.247048628622,2793.71749625841,499.008542563976,3453.83503850145,2045.99147882846
"3","Atlantic",5,3191.52959496486,1689.22100742511,5534.40446643171,1384.87974108581,6685.87307544101,4818.42078590092,12113.9509749078,2351.15084698593
"4","Belltown",35,1750.86938660682,3050.71184870175,17418.3639765391,49.072467007402,3319.02141400684,3314.67504981749,17462.8586002423,32.9548485324885
"5","Bitter Lake",4,2678.36655784065,433.320623230954,3256.04519853513,2244.79595785458,5003.51488580144,1409.9853870866,7077.54540312686,3943.40544123755
"6","Broadview",6,2819.47149082308,1073.99669025019,4298.32007265336,1264.35714558285,4610.19348671278,1894.84638223258,6767.17126431344,1287.19794263735
"7","Broadway",43,1382.62917700696,1635.51801276801,10274.3872791004,27.9623046434988,3642.60880819759,3080.28243209048,16341.5108377736,455.747738818911
"8","Bryant",8,1649.6253724922,473.015661126928,2151.77350718073,720.081921400557,3580.79962703744,1348.28206285736,5384.24776642387,1657.29363497943
"9","Cedar Park",1,3383.32948944039,NA,3383.32948944039,3383.32948944039,6020.04333403529,NA,6020.04333403529,6020.04333403529
"10","Central Business District",40,1492.55287722953,1857.07655276815,9115.49725999859,89.0962945245886,3803.45360146682,3243.05282108843,13907.5126634524,236.262508741874
"11","Columbia City",12,1676.39186302492,728.101848425442,3014.0237546427,850.895250310253,2440.77751989977,1547.26855879676,5406.35274015899,818.523182711816
"12","Crown Hill",6,955.331369104626,930.990659310964,2615.97812630483,323.509853095796,2812.8271440773,1017.05007112106,4121.77357514737,2003.59938675881
"13","Dunlap",13,3828.23541588479,1369.18286081336,5785.72161176155,2133.39561510261,6330.4435078756,1278.07537517899,8402.45870687253,4438.28827675042
"14","East Queen Anne",11,2093.50270923864,1517.76648217259,5130.08625585584,210.486354428753,3878.73046210222,2153.42749284727,6612.72971260762,830.471799421356
"15","Eastlake",4,1696.13598381826,1135.001964592,2841.01735221931,136.997323762665,2397.86690603031,1014.53981745646,3905.59418072715,1749.35432453985
"16","Fairmount Park",5,2278.20566771918,1615.81254229085,3845.10221571976,380.713717887707,3858.62528789898,1024.10504720499,5011.62204713418,2564.69607855726
"17","Fauntleroy",21,2420.80924759137,1150.42312974133,4504.1057059197,267.582308968308,4505.57713926757,1682.1359484915,6482.84675026598,578.588460395012
